dataset,problem,config,strategy,verdict,hypotheses,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/SEV/SEV636+1.p,rewrite,,SKIPPED,2935,0.000,,,,,,,,,,,,,,,,false,|F|=197635 > 50000
casc-j13-fof,Problems/SEV/SEV637+1.p,rewrite,,SKIPPED,2981,0.000,,,,,,,,,,,,,,,,false,|F|=194545 > 50000
casc-j13-fof,Problems/SEV/SEV640+1.p,rewrite,,SKIPPED,2766,0.000,,,,,,,,,,,,,,,,false,|F|=177556 > 50000
casc-j13-fof,Problems/SEV/SEV641+1.p,rewrite,,SKIPPED,3078,0.000,,,,,,,,,,,,,,,,false,|F|=210436 > 50000
casc-j13-fof,Problems/SEV/SEV643+1.p,rewrite,,SKIPPED,2960,0.000,,,,,,,,,,,,,,,,false,|F|=196163 > 50000
casc-j13-fof,Problems/SEV/SEV644+1.p,rewrite,,SKIPPED,2363,0.000,,,,,,,,,,,,,,,,false,|F|=178078 > 50000
casc-j13-fof,Problems/SEV/SEV645+1.p,rewrite,,SKIPPED,1984,0.000,,,,,,,,,,,,,,,,false,|F|=147059 > 50000
casc-j13-fof,Problems/SEV/SEV646+1.p,rewrite,,SKIPPED,3067,0.000,,,,,,,,,,,,,,,,false,|F|=133460 > 50000
casc-j13-fof,Problems/SEV/SEV650+1.p,rewrite,,SKIPPED,3015,0.000,,,,,,,,,,,,,,,,false,|F|=126785 > 50000
casc-j13-fof,Problems/SEV/SEV651+1.p,rewrite,,SKIPPED,2743,0.000,,,,,,,,,,,,,,,,false,|F|=121064 > 50000
casc-j13-fof,Problems/SEV/SEV654+1.p,rewrite,,SKIPPED,3190,0.000,,,,,,,,,,,,,,,,false,|F|=171799 > 50000
casc-j13-fof,Problems/SEV/SEV655+1.p,rewrite,,SKIPPED,3248,0.000,,,,,,,,,,,,,,,,false,|F|=155104 > 50000
casc-j13-fof,Problems/SEV/SEV656+1.p,rewrite,,SKIPPED,3041,0.000,,,,,,,,,,,,,,,,false,|F|=151084 > 50000
casc-j13-fof,Problems/SEV/SEV657+1.p,rewrite,,SKIPPED,3067,0.000,,,,,,,,,,,,,,,,false,|F|=137484 > 50000
casc-j13-fof,Problems/SEV/SEV658+1.p,rewrite,,SKIPPED,3118,0.000,,,,,,,,,,,,,,,,false,|F|=140744 > 50000
casc-j13-fof,Problems/SEV/SEV660+1.p,rewrite,,SKIPPED,2689,0.000,,,,,,,,,,,,,,,,false,|F|=113213 > 50000
casc-j13-fof,Problems/SEV/SEV661+1.p,rewrite,,SKIPPED,2456,0.000,,,,,,,,,,,,,,,,false,|F|=101848 > 50000
casc-j13-fof,Problems/SEV/SEV667+1.p,rewrite,,SKIPPED,2862,0.000,,,,,,,,,,,,,,,,false,|F|=121727 > 50000
casc-j13-fof,Problems/SEV/SEV668+1.p,rewrite,,SKIPPED,2820,0.000,,,,,,,,,,,,,,,,false,|F|=131304 > 50000
casc-j13-fof,Problems/SEV/SEV671+1.p,rewrite,,SKIPPED,2497,0.000,,,,,,,,,,,,,,,,false,|F|=174694 > 50000
casc-j13-fof,Problems/SEV/SEV673+1.p,rewrite,,SKIPPED,2701,0.000,,,,,,,,,,,,,,,,false,|F|=182075 > 50000
casc-j13-fof,Problems/SEV/SEV675+1.p,rewrite,,SKIPPED,3187,0.000,,,,,,,,,,,,,,,,false,|F|=166408 > 50000
casc-j13-fof,Problems/SEV/SEV676+1.p,rewrite,,SKIPPED,3004,0.000,,,,,,,,,,,,,,,,false,|F|=131917 > 50000
casc-j13-fof,Problems/SEV/SEV677+1.p,rewrite,,SKIPPED,3185,0.000,,,,,,,,,,,,,,,,false,|F|=139482 > 50000
casc-j13-fof,Problems/SEV/SEV678+1.p,rewrite,,SKIPPED,2924,0.000,,,,,,,,,,,,,,,,false,|F|=185550 > 50000
casc-j13-fof,Problems/SEV/SEV679+1.p,rewrite,,SKIPPED,3356,0.000,,,,,,,,,,,,,,,,false,|F|=164995 > 50000
casc-j13-fof,Problems/SWB/SWB012+1.p,rewrite,,HARD_TIMEOUT,,0.000,,,,,,,,,,,,,,,,false,
casc-j13-fof,Problems/SWB/SWB013+2.p,rewrite,,CLAUSIFIED,8,245.531,,0.000,559.018,,,,,62,19,753,1043090,3594,3119,13,true,false,
casc-j13-fof,Problems/SWB/SWB017+1.p,rewrite,,HARD_TIMEOUT,,0.000,,,,,,,,,,,,,,,,false,
casc-j13-fof,Problems/SWB/SWB020+1.p,rewrite,,HARD_TIMEOUT,,0.000,,,,,,,,,,,,,,,,false,
casc-j13-fof,Problems/SWB/SWB021+2.p,rewrite,,CLAUSIFIED,7,264.182,,0.000,628.887,,,,,78,17,597,1051972,3098,3856,12,true,false,
